days,temp,P,growthrate.mn,growthrate.n,growthrate.se,rel_growth.mn,rel_growth.n,rel_growth.se
3,12,DEF,0,6,0,0,6,0
7,12,DEF,0.208333333333333,6,0.0928584147247043,0.0763888888888889,6,0.0586658292939678
10,12,DEF,-0.0555555555555556,6,0.0418207029282823,-0.0833333333333333,6,0.0400231414540619
14,12,DEF,0.75,5,0.259807621135332,0.216176470588235,5,0.0636579581838627
21,12,DEF,1.875,6,0.120040502424066,0.537864923747277,6,0.0195239389361343
28,12,DEF,-1.45714285714286,5,0.0977293221513547,-2.19,5,0.292779780722645
3,16,DEF,0,6,0,0,6,0
7,16,DEF,-0.0416666666666667,6,0.0313655271962117,-0.0238095238095238,6,0.0232147944592199
10,16,DEF,3.11111111111111,6,0.472276685312447,0.506410256410256,6,0.0488812402609519
14,16,DEF,0.666666666666667,6,0.683976661936702,-0.179166666666667,6,0.150573819560952
21,16,DEF,-1.6,5,0.719027120489902,-0.580033416875522,5,0.18721330689477
28,16,DEF,-0.285714285714286,5,0.138505138783324,-0.343333333333333,5,0.118499882794129
36,16,DEF,2.85,5,0.579708978712595,0.59440537790383,5,0.0561361218919173
3,20,DEF,0,6,0,0,6,0
7,20,DEF,3.92857142857143,7,0.412245739879251,0.627178986591192,7,0.0476401608550547
10,20,DEF,1.52380952380952,7,1.25412611308679,-1.30020298441957,7,0.294412481991644
14,20,DEF,-3.66666666666667,6,1.67843070444675,-7.40960249042146,6,1.98164998530686
21,20,DEF,7.75,6,1.26628283658203,0.673098988409085,6,0.0611247308566894
28,20,DEF,12.7380952380952,6,3.00220692319417,0.0873774895508855,6,0.148973221641165
36,20,DEF,-6.60416666666667,6,1.89802605185454,-0.413970735375994,6,0.162171172653202
3,24,DEF,0,5,0,0,5,0
7,24,DEF,10.2083333333333,6,1.01564725759087,0.750305301527811,6,0.0487472021476949
10,24,DEF,11.5333333333333,5,2.23288552724446,0.347369093231162,5,0.0454805091640509
14,24,DEF,-12.4,5,2.9590116593214,-2.12556643356643,5,0.508524026379584
21,24,DEF,-1.5,5,1.56923548264752,-0.879432270150092,5,0.206130325851889
28,24,DEF,-1.28571428571429,5,0.448125346895946,-0.29995337995338,5,0.080889357249486
36,24,DEF,3.375,5,0.697540321415185,0.525105080242219,5,0.0937201031058291
3,12,FULL,0,6,0,0,6,0
7,12,FULL,-0.0416666666666667,6,0.0313655271962117,-0.0541666666666667,6,0.0236315271210744
10,12,FULL,-0.111111111111111,6,0.0286887655274623,-0.0654761904761905,6,0.0178240433979966
14,12,FULL,0.708333333333333,6,0.121953618991751,0.276094276094276,6,0.0366201927680257
21,12,FULL,0,6,0.337474278855276,-0.425,6,0.178866026834487
28,12,FULL,-0.595238095238095,6,0.11410369102429,-0.953968253968254,6,0.128519161105039
36,12,FULL,0.104166666666667,6,0.0482626398719279,0.0619047619047619,6,0.0836358831324325
3,16,FULL,0,6,0,0,6,0
7,16,FULL,-0.291666666666667,6,0.0409663366770906,-0.233333333333333,6,0.0351364184463153
10,16,FULL,0.0555555555555556,6,0.0649469552472229,0.00436507936507936,6,0.0360481892648374
14,16,FULL,0.416666666666667,6,0.189419190235915,-0.222471972471972,6,0.193670669082627
21,16,FULL,1.33333333333333,6,0.600154301146951,-1.68754208754209,6,0.699964763533569
28,16,FULL,1.07142857142857,6,0.10621289534855,0.502297310348158,6,0.0503865702953563
36,16,FULL,1.85416666666667,6,0.274626219041783,0.479585344597476,6,0.0487969730050594
3,20,FULL,0,6,0,0,6,0
7,20,FULL,0.0714285714285714,7,0.0397391885902991,0.0180272108843537,7,0.045241017902476
10,20,FULL,-0.933333333333333,5,0.144529889257859,-2.23333333333333,5,0.477027835199955
14,20,FULL,1.5,6,0.298142396999972,0.343181818181818,6,0.128933740929386
21,20,FULL,6.625,6,1.50086780452732,-0.836874343979607,6,0.666893584006592
28,20,FULL,12.2142857142857,6,1.30573043649488,0.759357041793008,6,0.041412142962509
36,20,FULL,4.5,5,3.58717333007481,-0.112452504909337,5,0.229492880338153
3,24,FULL,0,6,0,0,6,0
7,24,FULL,5.79166666666667,6,0.337902708986982,0.765563513382986,6,0.0160103811118423
10,24,FULL,6.61111111111111,6,0.760455245934933,0.343900333971256,6,0.0449340315120537
14,24,FULL,-2.95833333333333,6,0.496806933958887,-0.362745513354033,6,0.0823915281500586
21,24,FULL,-3.70833333333333,6,0.285550961917224,-0.657368718238283,6,0.0435771331511028
28,24,FULL,2.65714285714286,5,0.385767192138746,0.416695117804086,5,0.0417667303382908
36,24,FULL,7.60416666666667,6,1.13455943684795,0.555524657412799,6,0.048529316373707
