temperature.x,well_number.x,uniqueID,mean,median,sd,std.error,temperature,inverse_temp
12,A5,12_A5,0.007991299391427297,0.007991299391427297,0,0,12,40.69776232103897
12,A6,12_A6,0.012527416330309245,0.012527416330309245,0,0,12,40.69776232103897
12,B1,12_B1,0.009745826143123044,0.009745826143123044,0,0,12,40.69776232103897
12,B2,12_B2,0.007557781215091664,0.007557781215091664,0,0,12,40.69776232103897
12,B3,12_B3,0.007124654917326199,0.007124654917326199,0,0,12,40.69776232103897
12,B4,12_B4,0.0077144211431015,0.0077144211431015,0,0,12,40.69776232103897
12,B5,12_B5,0.008643193688838827,0.008643193688838827,0,0,12,40.69776232103897
12,B6,12_B6,0.010245100095194998,0.010245100095194998,0,0,12,40.69776232103897
12,C1,12_C1,0.00821626641017885,0.00821626641017885,0,0,12,40.69776232103897
12,C3,12_C3,0.014102609086215856,0.014102609086215856,0,0,12,40.69776232103897
12,C4,12_C4,0.008010722044002891,0.008010722044002891,0,0,12,40.69776232103897
12,C5,12_C5,0.006015317248608962,0.006015317248608962,0,0,12,40.69776232103897
12,C6,12_C6,0.004727869210843301,0.004727869210843301,0,0,12,40.69776232103897
12,D1,12_D1,0.007204626430798325,0.007204626430798325,0,0,12,40.69776232103897
12,D2,12_D2,0.011841571251571226,0.011841571251571226,0,0,12,40.69776232103897
12,D3,12_D3,0.006266996644672098,0.006266996644672098,0,0,12,40.69776232103897
12,D4,12_D4,0.00930413203362634,0.00930413203362634,0,0,12,40.69776232103897
12,D6,12_D6,0.005118478710835871,0.005118478710835871,0,0,12,40.69776232103897
16,A5,16_A5,0.07565891572355826,0.07565891572355826,0,0,16,40.134763706879696
16,A6,16_A6,0.0207572617871779,0.0207572617871779,0,0,16,40.134763706879696
16,B1,16_B1,0.012220336739918151,0.012220336739918151,0,0,16,40.134763706879696
16,B2,16_B2,0.01659832799004571,0.01659832799004571,0,0,16,40.134763706879696
16,B4,16_B4,0.012908360304115662,0.012908360304115662,0,0,16,40.134763706879696
16,B5,16_B5,0.012514793355752259,0.012514793355752259,0,0,16,40.134763706879696
16,B6,16_B6,0.019573515861558376,0.019573515861558376,0,0,16,40.134763706879696
16,C3,16_C3,0.011627458137221328,0.011627458137221328,0,0,16,40.134763706879696
16,C4,16_C4,0.012818243356461213,0.012818243356461213,0,0,16,40.134763706879696
16,C6,16_C6,0.01513225407887939,0.01513225407887939,0,0,16,40.134763706879696
16,D1,16_D1,0.023513436426209594,0.023513436426209594,0,0,16,40.134763706879696
16,D2,16_D2,0.025252035667225847,0.025252035667225847,0,0,16,40.134763706879696
16,D3,16_D3,0.018112060159408944,0.018112060159408944,0,0,16,40.134763706879696
16,D4,16_D4,0.016726395277239875,0.016726395277239875,0,0,16,40.134763706879696
16,D5,16_D5,0.010377326459632307,0.010377326459632307,0,0,16,40.134763706879696
16,D6,16_D6,0.012184024261463618,0.012184024261463618,0,0,16,40.134763706879696
20,B3,20_B3,0.016158888764765653,0.016158888764765653,0,0,20,39.5871292029482
20,B4,20_B4,0.027289362882690894,0.027289362882690894,0,0,20,39.5871292029482
20,C6,20_C6,0.024405508780494262,0.024405508780494262,0,0,20,39.5871292029482
20,D2,20_D2,0.029389216462370412,0.029389216462370412,0,0,20,39.5871292029482
20,D3,20_D3,0.005028469764662122,0.005028469764662122,0,0,20,39.5871292029482
20,D4,20_D4,0.029105141557797205,0.029105141557797205,0,0,20,39.5871292029482
20,D5,20_D5,0.025365788266046907,0.025365788266046907,0,0,20,39.5871292029482
20,D6,20_D6,0.017718587667397596,0.017718587667397596,0,0,20,39.5871292029482
24,A5,24_A5,0.025991994514431394,0.025991994514431394,0,0,24,39.05423835047708
24,A6,24_A6,0.035179963074631546,0.035179963074631546,0,0,24,39.05423835047708
24,B1,24_B1,0.04382624782442036,0.04382624782442036,0,0,24,39.05423835047708
24,B2,24_B2,0.035394745206425444,0.035394745206425444,0,0,24,39.05423835047708
24,B3,24_B3,0.05027659137906607,0.05027659137906607,0,0,24,39.05423835047708
24,B4,24_B4,0.03539969014042,0.03539969014042,0,0,24,39.05423835047708
24,B5,24_B5,0.04328744247946672,0.04328744247946672,0,0,24,39.05423835047708
24,B6,24_B6,0.03795871393968849,0.03795871393968849,0,0,24,39.05423835047708
24,C3,24_C3,0.04047339438868561,0.04047339438868561,0,0,24,39.05423835047708
24,C4,24_C4,0.027480740567397154,0.027480740567397154,0,0,24,39.05423835047708
24,C6,24_C6,0.022324061689417158,0.022324061689417158,0,0,24,39.05423835047708
24,D1,24_D1,0.01380097317825313,0.01380097317825313,0,0,24,39.05423835047708
24,D2,24_D2,0.05083396882616621,0.05083396882616621,0,0,24,39.05423835047708
24,D3,24_D3,0.047641820421942656,0.047641820421942656,0,0,24,39.05423835047708
24,D4,24_D4,0.041231178541542124,0.041231178541542124,0,0,24,39.05423835047708
24,D5,24_D5,0.041341239594090785,0.041341239594090785,0,0,24,39.05423835047708
24,D6,24_D6,0.03986198972584871,0.03986198972584871,0,0,24,39.05423835047708
