List File,60-FULL-16-C1-APRIL2-R2.lst
Start Time,2016-04-02  13:19:10
Sampling Time,48 sec

Count,245
Particles / ml,12462

Efficiency,16.5%
PPUI,1.26

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),68.70,20.22,206.62,29.14,42.42
Aspect Ratio,0.85,0.35,0.99,0.10,11.41
Circle Fit,0.76,0.05,0.95,0.11,14.53
Circularity (Hu),0.93,0.18,1.00,0.09,9.31
Compactness,1.73,1.02,6.92,0.69,40.06
Diameter (ABD),9.16,5.07,16.22,1.87,20.40
Diameter (ESD),10.63,6.81,20.61,2.30,21.59
Elongation,3.02,1.00,19.70,2.32,76.96
Geodesic Aspect Ratio,0.48,0.05,1.00,0.27,56.62
Geodesic Length,17.31,7.35,55.48,7.45,43.01
Geodesic Thickness,6.71,1.63,13.74,1.76,26.19
Intensity,126.06,88.60,197.34,15.86,12.58
Length,11.86,7.45,25.69,2.78,23.46
Perimeter,48.05,29.40,120.93,13.31,27.70
Roughness,1.24,1.04,2.05,0.17,13.42
Sigma Intensity,38.09,4.77,53.53,7.27,19.10
Sum Intensity,45821.16,19872.00,1.30e+005,18649.95,40.70
Transparency,0.13,0.04,0.61,0.06,46.44
Volume (ABD),455.58,68.37,2234.17,306.83,67.35
Width,9.15,5.76,15.75,1.90,20.76

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,2,0.82,0.17,102,0.01
7-8um,18,7.35,2.54,916,0.14
8-9um,42,17.14,8.61,2136,0.49
0-5um,0,0.00,0.00,0.00,0.00
5-10um,116,47.35,26.14,5901,1.48
10-15um,118,48.16,61.74,6002,3.49
15-20um,9,3.67,10.28,458,0.58
20-25um,1,0.41,1.84,51,0.10
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,54,22.04,14.82,2747,0.84
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

