"","ID","Phosphorus","temp","r","K","a","m"
"1",1,"FULL",20,2,137159375.380758,1.23107703333912e-13,0.728941248053588
"2",2,"FULL",20,0.15,1588617055.81377,7.90525912478832e-26,0
"3",3,"FULL",20,1.38729122080492,76558120.6552698,1.06591673325908e-09,0
"4",4,"FULL",20,0.808276752296238,151290602.390389,0,0.999999209558493
"5",5,"FULL",20,1.07672914254575,128721106.779201,8.87140352930041e-09,1
"6",6,"FULL",20,0.906998233122403,63877108.9081349,2.94959749631584e-17,0
"7",7,"DEF",20,0.15,1643824594.13323,0,0.009692688651936
"8",8,"DEF",20,0.150013554093562,1e+07,45.9480737305483,1
"9",9,"DEF",20,1.59141905683027,100511653.684715,1.09054932741487e-08,0.993089453778502
"10",10,"DEF",20,1.80737526251445,56724733.8839896,8.67831745991724e-11,1
"11",11,"DEF",20,0.150070973743533,1e+07,53.2760312201091,1
"12",12,"DEF",20,2,105874540.207806,4.30334171765574e-10,0
"13",13,"FULL",16,0.562469512898517,1e+07,13.9043838576207,1
"14",14,"FULL",16,0.491194511407927,127201958.897256,9.51995219901116e-16,0
"15",15,"FULL",16,0.673088942596531,10000077.5802216,46.0455415301932,1
"16",16,"FULL",16,0.15,28620961.0401901,3.66799554476243e-08,0.99999992641066
"17",17,"FULL",16,0.15,22573412.2481587,1.99403022886346e-11,0
"18",18,"FULL",16,1.24287072573878,44700874.7885958,8.682041708528e-10,0.00561689665651696
"19",19,"DEF",16,1.90041685847391,48436928.9906384,7.36415642507574e-10,0
"20",20,"DEF",16,2,110327735.584864,0,0.999999887600908
"21",21,"DEF",16,0.15,27729036.7462668,1.40027583231063e-17,0
"22",22,"DEF",16,2,38124221.6440672,6.55246652712614e-10,0.00630550908773976
"23",23,"DEF",16,1.86875676310827,53810889.0891389,0,0.0490517660245252
"24",24,"DEF",16,1.3882044769099,10000190.3357612,34.2615325262972,1
"25",25,"FULL",24,0.15,10000000.0015867,1.1446076619392e-15,0
"26",26,"FULL",24,0.586092669207807,1e+07,12.5436926089386,1
"27",27,"FULL",24,0.15,1e+07,46.3748878468922,1
"28",28,"FULL",24,0.150000008330557,1e+07,12.8129929477052,1
"29",29,"FULL",24,0.15,1e+07,0,1
"30",30,"FULL",24,0.15,10140857.0330627,7.28015890717582e-19,0.999999998555081
"31",31,"DEF",24,0.15,10000014.6238081,1.23794009714199e-09,0
"32",32,"DEF",24,0.15,12232799.2500611,1.09276297552924e-12,0
"33",33,"DEF",24,0.150275321217061,1e+07,32.6364827483718,1
"34",34,"DEF",24,0.202476668541801,1e+07,9.79458611017303e-13,0
"35",35,"DEF",24,0.172524396048306,1e+07,1.84086910961649e-12,1
"36",36,"DEF",24,0.15,1e+07,3.20446372483817e-15,0.999999671549543
"37",37,"FULL",12,0.15,33254838.8354418,1.61058555012322e-18,0.0177593649674166
"38",38,"FULL",12,0.15,24737773.6303858,2.80259087762243e-17,0.0400318743574726
"39",39,"FULL",12,0.15,28459608.1529353,1.343572667665e-26,0.00528845995533461
"40",40,"FULL",12,0.15,27191783.7961333,7.21816483456666e-18,0.0209711784477907
"41",41,"FULL",12,0.15,24659355.4688028,0,0.999113700920688
"42",42,"FULL",12,0.15,23952149.5305202,1.10415074035151e-17,0.0601736758065894
"43",43,"DEF",12,0.15,10922203.3383322,3.10603407936539e-21,0.999999731545513
"44",44,"DEF",12,2,51256250.7379817,1.8902870372532e-08,0.99999987843734
"45",45,"DEF",12,0.355537303948698,21401558.4513413,0,0.0161152861144693
"46",46,"DEF",12,0.15,32146355.3568262,2.99344822850281e-17,0.010587272094605
"47",47,"DEF",12,0.15,1e+07,47.8777335355417,1
"48",48,"DEF",12,0.15,25494375.4073107,1.68447556574821e-08,0.999996135451223
