treatment,temperature,replicate,date,cell_count
DEF,12,1,MARCH29,5741
DEF,12,2,MARCH29,19090
DEF,12,3,MARCH29,6238
DEF,12,4,MARCH29,8393
DEF,12,6,MARCH29,6935
DEF,16,1,MARCH29,2345
DEF,16,2,MARCH29,11412
DEF,16,3,MARCH29,4683
DEF,16,4,MARCH29,4646
DEF,16,5,MARCH29,7016
DEF,16,6,MARCH29,5195
DEF,20,1,MARCH29,136915
DEF,20,2,MARCH29,48376
DEF,20,3,MARCH29,66289
DEF,20,4,MARCH29,65332
DEF,20,5,MARCH29,76005
DEF,20,6,MARCH29,119226
DEF,24,1,MARCH29,68528
DEF,24,2,MARCH29,84345
DEF,24,3,MARCH29,70876
DEF,24,4,MARCH29,149729
DEF,24,5,MARCH29,113158
FULL,12,1,MARCH29,8635
FULL,12,2,MARCH29,4784
FULL,12,3,MARCH29,4316
FULL,12,4,MARCH29,5487
FULL,12,5,MARCH29,5227
FULL,12,6,MARCH29,3638
FULL,16,1,MARCH29,6365
FULL,16,2,MARCH29,6724
FULL,16,3,MARCH29,6231
FULL,16,4,MARCH29,5471
FULL,16,5,MARCH29,5856
FULL,16,6,MARCH29,3873
FULL,20,1,MARCH24,95295
FULL,20,2,MARCH29,55093
FULL,20,3,MARCH29,49381
FULL,20,4,MARCH29,77433
FULL,20,5,MARCH29,36475
FULL,20,6,MARCH29,105129
FULL,24,1,MARCH29,64479
FULL,24,2,MARCH29,36430
FULL,24,3,MARCH29,102874
FULL,24,4,MARCH29,119954
FULL,24,5,MARCH29,108279
FULL,24,6,MARCH29,99506
