List File,DEF-12-4-MARCH30-R1.lst
Start Time,2016-03-30  16:17:09
Sampling Time,2 min 18 sec

Count,367
Particles / ml,6476

Efficiency,16.4%
PPUI,1.09

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),84.75,19.60,572.76,45.84,54.09
Aspect Ratio,0.87,0.38,1.00,0.11,12.17
Circle Fit,0.79,0.00,0.96,0.12,15.51
Circularity (Hu),0.95,0.48,1.00,0.07,7.24
Compactness,1.56,1.00,4.74,0.52,33.60
Diameter (ABD),10.10,5.00,27.00,2.42,23.90
Diameter (ESD),11.49,5.41,31.06,2.88,25.03
Elongation,2.46,1.00,12.82,1.76,71.40
Geodesic Aspect Ratio,0.57,0.08,1.00,0.29,51.66
Geodesic Length,17.00,6.05,58.22,7.78,45.78
Geodesic Thickness,7.89,2.14,13.54,2.04,25.81
Intensity,121.76,85.50,192.93,13.73,11.27
Length,12.71,5.74,34.23,3.53,27.80
Perimeter,49.78,24.20,128.36,14.51,29.14
Roughness,1.26,1.04,1.97,0.15,12.30
Sigma Intensity,37.54,5.02,56.50,8.90,23.70
Sum Intensity,51447.66,15455.00,2.20e+005,21868.97,42.51
Transparency,0.12,0.03,0.37,0.05,42.95
Volume (ABD),641.71,65.29,10311.65,678.46,105.73
Width,10.01,4.70,24.16,2.19,21.86

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,5,1.36,0.17,88,0.01
6-7um,14,3.81,0.56,247,0.02
7-8um,4,1.09,0.25,71,0.01
8-9um,29,7.90,2.79,512,0.12
0-5um,0,0.00,0.00,0.00,0.00
5-10um,91,24.80,9.19,1606,0.38
10-15um,246,67.03,65.56,4341,2.72
15-20um,25,6.81,16.05,441,0.67
20-25um,3,0.82,3.13,53,0.13
25-30um,1,0.27,1.68,18,0.07
30-35um,1,0.27,4.38,18,0.18
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,38,10.35,5.36,671,0.22
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

